band,decl,decl_err,eta_int,extract_type,f_datapoints,f_int,f_int_err,freq_eff,ra,ra_err,runcatid,tau_time,taustart_ts,v_int,xtrsrc
23,27.2528072076,0.198745032646,0.248296341138,1,51,11.7872061414,6.1609786053,61816408.0,197.86654681,0.204927575604,198,1.0,2017-02-25 01:31:00,0.142859398206,15876
24,27.2528072076,0.152283295555,0.316682294197,1,52,16.9016359478,6.76708490435,58300780.0,197.86654681,0.156985946678,198,1.0,2017-02-25 01:31:01,0.172355521731,15992
23,27.3009652763,0.137614225779,0.259632830402,0,52,16.1232935048,5.83584432624,61816408.0,197.9074616,0.141985922458,198,1.0,2017-02-25 01:31:01,0.146417366701,15945
23,27.220474232,0.126729204253,0.261892024913,0,53,17.7111368892,5.89854940157,61816408.0,197.876131338,0.130558118831,198,1.0,2017-02-25 01:31:02,0.147454097387,16076
24,27.2531332145,0.14761693,0.316722180499,1,53,18.6961339469,7.25593463307,58300780.0,197.866823783,0.152171760963,198,1.0,2017-02-25 01:31:02,0.173007658442,16129
24,27.2485655829,0.132338784582,0.319344027895,0,54,18.3916250931,6.39718210306,58300780.0,197.790308793,0.136375756489,198,1.0,2017-02-25 01:31:03,0.173881897402,16175
23,27.2528432244,0.216385741442,0.309630849367,1,54,10.8661488013,6.1841212206,61816408.0,197.866344398,0.223128378676,198,1.0,2017-02-25 01:31:03,0.162137515269,16291
24,27.2528432244,0.140126901946,0.322124160915,1,55,18.0594356346,6.65274225986,58320312.0,197.866344398,0.14444209914,198,1.0,2017-02-25 01:31:04,0.175005644111,16404
23,27.2528432244,0.219704169701,0.350399357706,1,55,10.9706116831,6.33938602885,61816408.0,197.866344398,0.226551365558,198,1.0,2017-02-25 01:31:04,0.17482355302,16432
24,27.2528432244,0.16891988963,0.338977785169,1,56,15.0365912477,6.6785768337,58320312.0,197.866344398,0.17414199512,198,1.0,2017-02-25 01:31:05,0.180049549273,16544
23,27.2528432244,0.236794054458,0.407775671809,1,56,9.61189819805,5.98676845952,61816408.0,197.866344398,0.244190820635,198,1.0,2017-02-25 01:31:05,0.189612381409,16571
24,27.2528432244,0.165003637956,0.348866043045,1,57,15.867003738,6.883808735,58300780.0,197.866344398,0.170099934132,198,1.0,2017-02-25 01:31:06,0.183474363528,16685
23,27.2856982092,0.136285871107,0.406890835387,0,57,17.0293382183,6.103021459,61816408.0,197.889033628,0.140564286474,198,1.0,2017-02-25 01:31:06,0.190042999453,16638
23,27.3081302233,0.133751215318,0.406046267065,0,58,17.0284047508,5.98992348377,61816408.0,197.862592628,0.137991114144,198,1.0,2017-02-25 01:31:07,0.190410318797,16769
24,27.2530651851,0.197053165667,0.370446876145,1,58,13.4684654661,6.9794232637,58300780.0,197.866497681,0.203167680454,198,1.0,2017-02-25 01:31:07,0.190396165346,16820
24,27.2534488746,0.174628506442,0.388666766176,1,59,14.264799914,6.5500172204,58320312.0,197.866470471,0.180028072911,198,1.0,2017-02-25 01:31:08,0.195485208597,16960
23,27.2534488746,0.199877966549,0.42609669099,1,59,12.3736039677,6.50405341376,61816408.0,197.866470471,0.206082022092,198,1.0,2017-02-25 01:31:08,0.197201005405,16989
24,27.2534488746,0.138827128632,0.394721267696,1,60,16.6966115613,6.09341322391,58320312.0,197.866470471,0.143095662192,198,1.0,2017-02-25 01:31:09,0.197069976546,17097
23,27.2534488746,0.201711764492,0.459641266535,1,60,11.178194138,5.92962247624,61816408.0,197.866470471,0.207972353925,198,1.0,2017-02-25 01:31:09,0.205734788358,17123
23,27.2534488746,0.201933314322,0.488657998324,1,61,11.3064136879,6.00419047562,61816408.0,197.866470471,0.208198846625,198,1.0,2017-02-25 01:31:10,0.213376819511,17253
24,27.2534488746,0.155923846604,0.407883003594,1,61,15.0980828867,6.18927849492,58320312.0,197.866470471,0.160728312715,198,1.0,2017-02-25 01:31:10,0.200428820587,17228
24,27.2534488746,0.151895378697,0.415418986422,1,62,15.8233826293,6.31880690552,58320312.0,197.866470471,0.156571333464,198,1.0,2017-02-25 01:31:11,0.202676003167,17368
23,27.2669216922,0.128636234027,0.483752112552,0,62,17.5328086598,5.92990261755,61816408.0,197.954517931,0.132642212648,198,1.0,2017-02-25 01:31:11,0.212750725163,17313
23,27.2334608631,0.131112989074,0.479648288074,0,63,17.2240255651,5.9356887557,61816408.0,197.924516791,0.135108860074,198,1.0,2017-02-25 01:31:12,0.212327241131,17447
24,27.2535495415,0.179308212062,0.430275868935,1,63,13.9712315795,6.5871398654,58346356.0,197.867128349,0.184849394647,198,1.0,2017-02-25 01:31:12,0.207128724581,17498
24,27.253406027,0.170344257607,0.442690775623,1,64,14.3704664722,6.43627038011,58320312.0,197.867538335,0.175599250716,198,1.0,2017-02-25 01:31:13,0.210754041365,17628
23,27.253406027,0.167081904001,0.494353959475,1,64,13.1372871001,5.77115170239,61816408.0,197.867538335,0.172233729891,198,1.0,2017-02-25 01:31:13,0.21624127078,17658
23,27.2311112545,0.12001009969,0.487247089806,0,65,18.7353911125,5.90860363819,61816408.0,197.881557966,0.123641494163,198,1.0,2017-02-25 01:31:14,0.214906424951,17715
24,27.253406027,0.161271515411,0.448971353232,1,65,15.3583171331,6.51193556953,58346356.0,197.867538335,0.166238166,198,1.0,2017-02-25 01:31:14,0.212969036125,17764
24,27.2276894766,0.118154212773,0.443777871925,0,66,19.2754144803,5.98248292958,58320312.0,197.669684284,0.121657709202,198,1.0,2017-02-25 01:31:15,0.21197281098,17817
23,27.2529958279,0.170427565667,0.498506615036,1,66,13.277430795,5.94950995486,61816408.0,197.865939001,0.175679658963,198,1.0,2017-02-25 01:31:15,0.218339249477,17939
24,27.2529958279,0.147944239881,0.445974186252,1,67,16.3352529936,6.35310805248,58320312.0,197.865939001,0.152486719487,198,1.0,2017-02-25 01:31:16,0.213030493793,18052
23,27.2443510293,0.131601560612,0.493745752815,0,67,17.2164023152,5.95500177117,61816408.0,197.866058567,0.135612829564,198,1.0,2017-02-25 01:31:16,0.217743760277,18002
24,27.2529359386,0.176835640587,0.456371994524,1,68,14.1025701052,6.55700359812,58320312.0,197.865939829,0.182286554733,198,1.0,2017-02-25 01:31:17,0.216395105112,18195
23,27.2358840008,0.13618151577,0.488440954299,0,68,17.41717854,6.23419138379,61816408.0,197.900929484,0.140325291377,198,1.0,2017-02-25 01:31:17,0.217020497794,18145
23,27.2201526857,0.131846446436,0.482287394545,0,69,18.0527205274,6.25471109885,61816408.0,197.88507062,0.135812671907,198,1.0,2017-02-25 01:31:18,0.215967814854,18284
24,27.2528263778,0.139649335714,0.465267313229,1,69,15.2327758483,5.59175839953,58428484.0,197.866164642,0.143928702193,198,1.0,2017-02-25 01:31:18,0.218296510484,18335
24,27.2526038506,0.166276841068,0.469381279786,1,70,15.1541243603,6.62469103998,58320312.0,197.866293403,0.171389790964,198,1.0,2017-02-25 01:31:19,0.220159787599,18480
23,27.2526038506,0.175876741878,0.495300941007,1,70,12.727359549,5.88538061369,61816408.0,197.866293403,0.181292711168,198,1.0,2017-02-25 01:31:19,0.219728411521,18509
23,27.2526038506,0.171382837458,0.507839241823,1,71,12.7838205869,5.76024942236,61816408.0,197.866293403,0.17665502545,198,1.0,2017-02-25 01:31:20,0.223199611609,18651
24,27.2526038506,0.142847465606,0.470820014337,1,71,16.2087500076,6.08633184493,58370536.0,197.866293403,0.147223312405,198,1.0,2017-02-25 01:31:20,0.220939534913,18624
23,27.2620559813,0.117059037659,0.501156291899,0,72,18.4351757885,5.67122726361,61816408.0,197.795017937,0.120629487047,198,1.0,2017-02-25 01:31:21,0.221916690951,18714
24,27.2384104664,0.117311976907,0.464329768447,0,72,20.1377235777,6.20640055957,58320312.0,197.725234476,0.120821053749,198,1.0,2017-02-25 01:31:21,0.219530942512,18670
23,27.234765505,0.108958445478,0.494207845591,0,73,19.2982590805,5.52518275848,61816408.0,197.909192831,0.112256056539,198,1.0,2017-02-25 01:31:22,0.220421248306,18860
24,27.1898995444,0.111609735282,0.458812522778,0,73,19.275701655,5.64993105462,58342636.0,197.798639061,0.114869687848,198,1.0,2017-02-25 01:31:22,0.21841898496,18817
24,27.2385393022,0.113190674563,0.452667712162,0,74,21.3729434255,6.35620797617,58320312.0,197.806738295,0.116595475013,198,1.0,2017-02-25 01:31:23,0.21686495219,18957
23,27.1933480944,0.119473217587,0.488077460544,0,74,18.2149664094,5.71591913676,61816408.0,197.818221234,0.122978387158,198,1.0,2017-02-25 01:31:23,0.219263495387,19001
23,27.2497814799,0.109896453411,0.481502074279,0,75,19.6620429719,5.67839044241,61816408.0,197.896613792,0.113246094888,198,1.0,2017-02-25 01:31:24,0.217763086746,19137
24,27.2006835111,0.120293417064,0.446849185795,0,75,19.797480369,6.25536234282,58346356.0,197.798531174,0.123831401722,198,1.0,2017-02-25 01:31:24,0.215624769882,19094
23,27.3125750044,0.128896297869,0.477451215914,0,76,16.9969025877,5.76214864033,61816408.0,197.971861049,0.133000646884,198,1.0,2017-02-25 01:31:25,0.217204857812,19281
24,27.2119845282,0.118885039071,0.441195180864,0,76,19.7800973282,6.17697002696,58320312.0,197.777952174,0.122397224889,198,1.0,2017-02-25 01:31:25,0.214410249048,19235
24,27.2072309296,0.121942599554,0.435976614264,0,77,19.3843657316,6.20903870814,58346356.0,197.787126624,0.125537935955,198,1.0,2017-02-25 01:31:26,0.213338380049,19381
